case_id,account_id,contact_id,product_id,owner,priority,category,created_date,resolved_date,status
CASE00030,ACC0053,CON00104,P001,E0016,Medium,Delivery Complaint,2025-06-17,2025-06-19,Resolved
CASE00031,ACC0051,CON00099,P006,E0016,High,Billing Inquiry,2024-04-28,2024-05-03,Resolved
CASE00032,ACC0022,CON00042,P012,E0092,High,Warranty Claim,2025-07-18,2025-07-22,Resolved
CASE00033,ACC0065,CON00132,P015,E0107,Low,Technical Support,2025-07-27,2025-07-27,Resolved
CASE00034,ACC0038,CON00074,P005,E0001,Medium,Product Defect,2024-02-18,2024-02-20,Resolved
CASE00035,ACC0002,CON00003,P005,E0080,Low,Warranty Claim,2025-11-10,2025-12-01,Resolved
CASE00036,ACC0028,CON00056,P005,E0107,Low,Product Defect,2024-03-17,2024-03-19,Resolved
CASE00037,ACC0001,CON00001,P006,E0069,Low,Product Defect,2024-06-29,2024-07-02,Resolved
CASE00038,ACC0050,CON00098,P007,E0051,Low,Billing Inquiry,2024-10-11,2024-10-13,Resolved
CASE00039,ACC0047,CON00091,P015,E0051,Low,Delivery Complaint,2024-07-14,2024-07-24,Resolved
CASE00040,ACC0044,CON00085,P005,E0080,Low,Product Defect,2024-08-26,2024-08-30,Resolved
CASE00041,ACC0012,CON00019,P002,E0103,Low,Delivery Complaint,2025-09-28,2025-10-12,Resolved
CASE00042,ACC0060,CON00122,P007,E0029,Low,Technical Support,2024-07-02,2024-07-03,Resolved
CASE00043,ACC0061,CON00125,P014,E0029,Medium,Technical Support,2024-08-23,2024-08-28,Resolved
CASE00044,ACC0003,CON00004,P005,E0080,Medium,Billing Inquiry,2025-09-07,2025-09-11,Resolved
CASE00045,ACC0013,CON00022,P002,E0001,Low,Product Defect,2025-12-04,2025-12-14,Resolved
CASE00046,ACC0033,CON00065,P014,E0080,High,Technical Support,2024-01-06,2024-01-13,Resolved
CASE00047,ACC0004,CON00006,P016,E0137,Critical,Delivery Complaint,2024-06-22,2024-07-02,Resolved
CASE00048,ACC0015,CON00026,P001,E0069,Medium,Warranty Claim,2024-05-12,2024-05-15,Resolved
CASE00049,ACC0049,CON00096,P010,E0107,Low,Product Defect,2024-09-07,2024-09-10,Resolved
CASE00050,ACC0031,CON00063,P004,E0051,Low,Warranty Claim,2025-04-10,2025-04-19,Resolved
CASE00051,ACC0055,CON00107,P003,E0069,Critical,Billing Inquiry,2025-03-31,2025-03-31,Resolved
CASE00052,ACC0007,CON00012,P014,E0080,Medium,Product Defect,2024-12-15,2024-12-23,Resolved
CASE00053,ACC0046,CON00090,P013,E0137,Medium,Warranty Claim,2024-01-12,2024-01-16,Resolved
CASE00054,ACC0067,CON00137,P016,E0080,Low,Product Defect,2024-12-31,2025-01-15,Resolved
CASE00055,ACC0026,CON00052,P005,E0107,High,Product Defect,2024-05-18,2024-05-23,Resolved
CASE00056,ACC0001,CON00001,P007,E0029,Medium,Delivery Complaint,2025-05-12,2025-05-16,Resolved
CASE00057,ACC0037,CON00071,P017,E0001,Critical,Warranty Claim,2024-08-26,2024-08-29,Resolved
CASE00058,ACC0047,CON00093,P004,E0092,Medium,Warranty Claim,2024-02-10,2024-02-17,Resolved
CASE00059,ACC0056,CON00111,P001,E0080,Low,Warranty Claim,2025-11-29,2025-12-02,Resolved
CASE00060,ACC0053,CON00102,P014,E0016,Medium,Technical Support,2025-06-19,2025-06-22,Resolved
CASE00061,ACC0013,CON00021,P013,E0080,Low,Billing Inquiry,2025-03-22,2025-03-24,Resolved
CASE00062,ACC0008,CON00014,P014,E0069,Low,Warranty Claim,2025-04-21,2025-04-28,Resolved
CASE00063,ACC0070,CON00143,P003,E0001,Medium,Billing Inquiry,2025-05-20,2025-05-25,Resolved
CASE00064,ACC0042,CON00083,P014,E0046,Low,Delivery Complaint,2025-10-19,2025-10-22,Resolved
CASE00065,ACC0045,CON00086,P012,E0064,High,Billing Inquiry,2025-08-19,2025-08-22,Resolved
CASE00066,ACC0027,CON00053,P017,E0137,Low,Technical Support,2025-03-30,2025-03-31,Resolved
CASE00067,ACC0011,CON00018,P003,E0069,Critical,Warranty Claim,2025-12-08,2025-12-10,Resolved
CASE00068,ACC0062,CON00126,P014,E0046,Medium,Warranty Claim,2025-12-24,2025-12-30,Resolved
CASE00069,ACC0067,CON00137,P004,E0069,Low,Product Defect,2025-09-08,2025-09-23,Resolved
CASE00070,ACC0025,CON00051,P007,E0064,Low,Technical Support,2024-12-29,2025-01-09,Resolved
CASE00071,ACC0009,CON00016,P010,E0051,Low,Technical Support,2025-01-17,2025-01-29,Resolved
CASE00072,ACC0039,CON00076,P003,E0107,Medium,Technical Support,2025-06-10,2025-06-12,Resolved
CASE00073,ACC0061,CON00125,P010,E0080,Low,Warranty Claim,2024-04-26,2024-04-30,Resolved
CASE00074,ACC0014,CON00023,P017,E0137,High,Billing Inquiry,2024-02-01,2024-02-05,Resolved
CASE00075,ACC0066,CON00133,P015,E0137,Medium,Billing Inquiry,2025-04-08,2025-04-10,Resolved
CASE00076,ACC0004,CON00007,P004,E0051,Medium,Billing Inquiry,2024-07-08,2024-07-13,Resolved
CASE00077,ACC0012,CON00020,P009,E0137,Low,Warranty Claim,2025-05-25,2025-05-29,Resolved
CASE00078,ACC0017,CON00032,P009,E0069,Low,Product Defect,2024-05-06,2024-05-07,Resolved
CASE00079,ACC0010,CON00017,P006,E0029,Medium,Billing Inquiry,2025-07-19,2025-07-20,Resolved
CASE00080,ACC0058,CON00117,P016,E0016,Low,Delivery Complaint,2025-02-01,2025-02-03,Resolved
CASE00081,ACC0061,CON00123,P001,E0170,High,Billing Inquiry,2024-10-10,2024-10-20,Resolved
CASE00082,ACC0013,CON00021,P009,E0046,Low,Delivery Complaint,2024-11-23,2024-11-24,Resolved
CASE00083,ACC0058,CON00117,P017,E0051,High,Billing Inquiry,2024-04-09,2024-04-24,Resolved
CASE00084,ACC0054,CON00106,P011,E0103,Low,Delivery Complaint,2024-05-20,2024-05-22,Resolved
CASE00085,ACC0005,CON00008,P016,E0029,Critical,Technical Support,2024-06-27,2024-07-29,Resolved
CASE00086,ACC0031,CON00063,P009,E0137,Low,Delivery Complaint,2024-12-04,2024-12-05,Resolved
CASE00087,ACC0039,CON00075,P006,E0092,Low,Technical Support,2024-05-17,2024-05-20,Resolved
CASE00088,ACC0035,CON00068,P014,E0170,High,Billing Inquiry,2024-04-06,2024-04-10,Resolved
CASE00089,ACC0055,CON00109,P006,E0001,Medium,Warranty Claim,2024-11-28,2024-12-02,Resolved
CASE00090,ACC0056,CON00112,P010,E0069,Medium,Product Defect,2024-11-25,2024-11-26,Resolved
CASE00091,ACC0052,CON00101,P014,E0051,Low,Delivery Complaint,2024-09-13,2024-09-18,Resolved
CASE00092,ACC0009,CON00015,P017,E0046,High,Product Defect,2025-11-29,2025-12-02,Resolved
CASE00093,ACC0045,CON00087,P001,E0170,Low,Warranty Claim,2025-07-16,2025-07-19,Resolved
CASE00094,ACC0063,CON00128,P002,E0107,Medium,Billing Inquiry,2025-01-07,2025-01-10,Resolved
CASE00095,ACC0016,CON00029,P015,E0137,Medium,Delivery Complaint,2024-08-19,2024-08-29,Resolved
CASE00096,ACC0035,CON00068,P007,E0137,High,Billing Inquiry,2024-11-24,2024-11-28,Resolved
CASE00097,ACC0059,CON00120,P001,E0103,Medium,Warranty Claim,2025-01-04,2025-01-09,Resolved
CASE00098,ACC0044,CON00085,P012,E0137,Medium,Billing Inquiry,2024-12-19,2024-12-20,Resolved
CASE00099,ACC0014,CON00023,P009,E0080,Medium,Product Defect,2025-10-07,2025-10-08,Resolved
CASE00100,ACC0042,CON00083,P006,E0103,Medium,Warranty Claim,2024-06-29,2024-07-13,Resolved
CASE00101,ACC0035,CON00068,P017,E0069,High,Warranty Claim,2025-12-13,2025-12-24,Resolved
CASE00102,ACC0023,CON00046,P001,E0103,Low,Product Defect,2025-02-24,2025-02-28,Resolved
CASE00103,ACC0019,CON00035,P012,E0092,Low,Delivery Complaint,2024-07-24,2024-07-26,Resolved
CASE00104,ACC0032,CON00064,P015,E0051,High,Product Defect,2024-04-25,2024-04-26,Resolved
CASE00105,ACC0051,CON00099,P003,E0051,High,Delivery Complaint,2024-02-01,2024-02-03,Resolved
CASE00106,ACC0043,CON00084,P013,E0080,Low,Warranty Claim,2024-03-13,2024-03-19,Resolved
CASE00107,ACC0045,CON00086,P014,E0069,Medium,Warranty Claim,2025-10-08,2025-10-13,Resolved
CASE00108,ACC0067,CON00136,P001,E0046,Medium,Warranty Claim,2024-12-24,2024-12-27,Resolved
CASE00109,ACC0055,CON00109,P006,E0001,High,Delivery Complaint,2025-03-07,2025-03-10,Resolved
CASE00110,ACC0043,CON00084,P002,E0080,Low,Product Defect,2024-04-07,2024-04-09,Resolved
CASE00111,ACC0002,CON00003,P008,E0029,Low,Delivery Complaint,2024-12-19,2024-12-27,Resolved
CASE00112,ACC0045,CON00087,P009,E0001,Critical,Product Defect,2025-05-09,2025-05-12,Resolved
CASE00113,ACC0064,CON00130,P008,E0001,Low,Billing Inquiry,2024-12-25,2024-12-28,Resolved
CASE00114,ACC0014,CON00023,P011,E0064,Medium,Technical Support,2025-03-25,2025-03-28,Resolved
CASE00115,ACC0054,CON00105,P011,E0107,Low,Delivery Complaint,2024-07-04,2024-07-09,Resolved
CASE00116,ACC0067,CON00136,P008,E0069,Medium,Billing Inquiry,2024-12-06,2024-12-09,Resolved
CASE00117,ACC0006,CON00010,P008,E0029,High,Delivery Complaint,2024-09-01,2024-09-06,Resolved
CASE00118,ACC0036,CON00070,P014,E0051,Medium,Delivery Complaint,2024-05-27,2024-05-28,Resolved
CASE00119,ACC0037,CON00073,P003,E0046,Low,Product Defect,2025-11-09,2025-11-13,Resolved
CASE00120,ACC0034,CON00067,P004,E0029,Critical,Billing Inquiry,2024-10-20,2024-10-24,Resolved
CASE00121,ACC0032,CON00064,P010,E0064,Low,Delivery Complaint,2024-06-14,2024-06-15,Resolved
CASE00122,ACC0048,CON00094,P011,E0069,Low,Product Defect,2025-11-20,2025-11-24,Resolved
CASE00123,ACC0058,CON00118,P003,E0069,Medium,Product Defect,2024-10-08,2024-10-11,Resolved
CASE00124,ACC0034,CON00067,P010,E0016,Medium,Billing Inquiry,2025-05-16,2025-05-17,Resolved
CASE00125,ACC0054,CON00106,P016,E0001,High,Warranty Claim,2025-09-30,2025-10-09,Resolved
CASE00126,ACC0033,CON00065,P001,E0051,Medium,Delivery Complaint,2025-08-14,2025-08-16,Resolved
CASE00127,ACC0042,CON00083,P005,E0046,Critical,Billing Inquiry,2025-04-30,2025-05-03,Resolved
CASE00128,ACC0039,CON00075,P003,E0170,Medium,Billing Inquiry,2024-04-20,2024-04-22,Resolved
CASE00129,ACC0052,CON00100,P007,E0029,Critical,Delivery Complaint,2025-12-23,2025-12-26,Resolved
CASE00130,ACC0008,CON00014,P005,E0046,High,Warranty Claim,2025-12-08,2025-12-09,Resolved
CASE00131,ACC0005,CON00008,P014,E0001,Low,Delivery Complaint,2025-04-18,2025-04-19,Resolved
CASE00132,ACC0051,CON00099,P004,E0046,Low,Product Defect,2024-09-21,2024-09-29,Resolved
CASE00133,ACC0051,CON00099,P003,E0170,High,Delivery Complaint,2024-02-28,2024-03-09,Resolved
CASE00134,ACC0033,CON00065,P016,E0137,Medium,Product Defect,2024-10-01,2024-10-04,Resolved
CASE00135,ACC0027,CON00054,P014,E0029,Medium,Technical Support,2025-05-09,2025-05-16,Resolved
CASE00136,ACC0058,CON00117,P006,E0170,High,Delivery Complaint,2024-10-03,2024-10-06,Resolved
CASE00137,ACC0017,CON00031,P001,E0001,Critical,Product Defect,2024-08-11,2024-08-14,Resolved
CASE00138,ACC0016,CON00030,P015,E0103,Medium,Warranty Claim,2024-03-13,2024-03-23,Resolved
CASE00139,ACC0028,CON00055,P011,E0080,High,Product Defect,2025-04-14,2025-04-16,Resolved
CASE00140,ACC0050,CON00098,P007,E0069,Low,Delivery Complaint,2025-06-27,2025-07-03,Resolved
CASE00141,ACC0023,CON00046,P001,E0137,Medium,Technical Support,2025-06-19,2025-07-03,Resolved
CASE00142,ACC0007,CON00012,P005,E0064,Low,Delivery Complaint,2024-07-14,2024-07-18,Resolved
CASE00143,ACC0042,CON00082,P017,E0080,High,Warranty Claim,2025-09-18,2025-10-03,Resolved
CASE00144,ACC0014,CON00023,P002,E0137,High,Product Defect,2024-12-25,2024-12-28,Resolved
CASE00145,ACC0009,CON00015,P010,E0051,Medium,Product Defect,2024-09-11,2024-09-17,Resolved
CASE00146,ACC0040,CON00077,P015,E0137,Low,Technical Support,2025-11-10,2025-11-12,Resolved
CASE00147,ACC0029,CON00057,P007,E0016,Medium,Product Defect,2025-01-26,2025-01-28,Resolved
CASE00148,ACC0068,CON00138,P007,E0092,Medium,Delivery Complaint,2025-03-27,2025-04-12,Resolved
CASE00149,ACC0051,CON00099,P003,E0137,High,Billing Inquiry,2025-01-20,2025-01-27,Resolved
CASE00150,ACC0012,CON00020,P016,E0103,Low,Delivery Complaint,2025-10-20,2025-10-25,Resolved
CASE00151,ACC0049,CON00097,P012,E0103,Low,Technical Support,2024-12-12,2024-12-13,Resolved
CASE00152,ACC0049,CON00097,P002,E0107,Medium,Delivery Complaint,2024-05-27,2024-06-23,Resolved
CASE00153,ACC0016,CON00030,P004,E0103,Medium,Product Defect,2024-04-07,2024-04-14,Resolved
CASE00154,ACC0035,CON00068,P007,E0001,Low,Billing Inquiry,2024-11-04,2024-11-10,Resolved
CASE00155,ACC0027,CON00054,P013,E0016,Low,Product Defect,2025-07-29,2025-08-01,Resolved
CASE00156,ACC0058,CON00117,P004,E0092,Medium,Billing Inquiry,2025-05-08,2025-05-12,Resolved
CASE00157,ACC0007,CON00012,P004,E0064,High,Warranty Claim,2024-03-29,2024-04-06,Resolved
CASE00158,ACC0057,CON00113,P016,E0092,Low,Delivery Complaint,2024-08-28,2024-09-03,Resolved
CASE00159,ACC0056,CON00110,P011,E0080,Medium,Billing Inquiry,2025-05-02,2025-05-06,Resolved
CASE00160,ACC0052,CON00101,P001,E0029,Low,Delivery Complaint,2025-01-16,2025-01-20,Resolved
CASE00161,ACC0022,CON00042,P016,E0170,Low,Delivery Complaint,2025-03-14,2025-03-24,Resolved
CASE00162,ACC0041,CON00080,P006,E0029,Medium,Warranty Claim,2024-03-04,2024-03-09,Resolved
CASE00163,ACC0066,CON00133,P008,E0107,Low,Warranty Claim,2024-08-09,2024-08-18,Resolved
CASE00164,ACC0004,CON00005,P012,E0137,Medium,Product Defect,2025-03-27,2025-03-30,Resolved
CASE00165,ACC0021,CON00040,P001,E0046,High,Technical Support,2024-04-08,2024-04-09,Resolved
CASE00166,ACC0007,CON00013,P004,E0107,High,Product Defect,2024-11-26,2024-12-01,Resolved
CASE00167,ACC0024,CON00048,P016,E0016,High,Product Defect,2024-09-01,2024-09-04,Resolved
CASE00168,ACC0047,CON00093,P008,E0170,Medium,Warranty Claim,2025-10-21,2025-10-27,Resolved
CASE00169,ACC0010,CON00017,P006,E0092,Low,Warranty Claim,2025-12-28,,Open
CASE00170,ACC0006,CON00011,P015,E0107,Low,Warranty Claim,2024-10-16,2024-10-21,Resolved
CASE00171,ACC0065,CON00132,P007,E0069,Low,Technical Support,2024-10-06,2024-10-16,Resolved
CASE00172,ACC0069,CON00142,P002,E0051,Low,Technical Support,2025-01-19,2025-01-20,Resolved
CASE00173,ACC0060,CON00122,P004,E0170,Medium,Delivery Complaint,2024-06-05,2024-06-05,Resolved
CASE00174,ACC0010,CON00017,P001,E0051,Medium,Billing Inquiry,2025-04-01,2025-04-04,Resolved
CASE00175,ACC0021,CON00041,P003,E0137,Low,Billing Inquiry,2025-09-14,2025-09-25,Resolved
CASE00176,ACC0046,CON00088,P016,E0137,Low,Product Defect,2025-05-20,2025-05-29,Resolved
CASE00177,ACC0066,CON00135,P006,E0069,Low,Technical Support,2025-05-26,2025-06-01,Resolved
CASE00178,ACC0020,CON00039,P014,E0107,Medium,Delivery Complaint,2024-08-31,2024-09-04,Resolved
CASE00179,ACC0048,CON00094,P002,E0016,Medium,Billing Inquiry,2025-03-07,2025-03-11,Resolved
CASE00180,ACC0032,CON00064,P007,E0064,Medium,Billing Inquiry,2025-03-15,2025-03-22,Resolved
CASE00181,ACC0050,CON00098,P012,E0001,Medium,Technical Support,2025-06-04,2025-06-08,Resolved
CASE00182,ACC0032,CON00064,P008,E0029,Medium,Technical Support,2024-07-26,2024-07-28,Resolved
CASE00183,ACC0040,CON00078,P010,E0051,Medium,Warranty Claim,2024-01-23,2024-01-27,Resolved
CASE00184,ACC0060,CON00122,P010,E0029,Medium,Product Defect,2024-01-15,2024-01-19,Resolved
CASE00185,ACC0069,CON00141,P003,E0064,Medium,Product Defect,2025-11-24,2025-12-12,Resolved
CASE00186,ACC0069,CON00141,P009,E0051,Low,Billing Inquiry,2025-11-06,2025-11-08,Resolved
CASE00187,ACC0052,CON00100,P009,E0051,Low,Billing Inquiry,2025-01-16,2025-01-18,Resolved
CASE00188,ACC0056,CON00110,P005,E0001,Low,Product Defect,2025-07-22,2025-07-26,Resolved
CASE00189,ACC0015,CON00026,P014,E0107,Medium,Technical Support,2024-09-11,2024-09-13,Resolved
CASE00190,ACC0037,CON00073,P001,E0103,Low,Billing Inquiry,2024-08-31,2024-09-05,Resolved
CASE00191,ACC0051,CON00099,P013,E0069,Low,Billing Inquiry,2024-03-30,2024-04-03,Resolved
CASE00192,ACC0048,CON00094,P009,E0016,Medium,Technical Support,2024-01-11,2024-01-20,Resolved
CASE00193,ACC0001,CON00001,P008,E0080,Medium,Product Defect,2024-05-07,2024-05-12,Resolved
CASE00194,ACC0062,CON00126,P008,E0103,Medium,Product Defect,2025-01-16,2025-01-22,Resolved
CASE00195,ACC0025,CON00050,P001,E0069,Low,Billing Inquiry,2025-04-21,2025-04-26,Resolved
CASE00196,ACC0059,CON00121,P016,E0029,Medium,Delivery Complaint,2024-11-20,2024-12-04,Resolved
CASE00197,ACC0059,CON00119,P017,E0051,Medium,Technical Support,2024-11-04,2024-11-12,Resolved
CASE00198,ACC0063,CON00128,P009,E0080,High,Technical Support,2025-02-26,2025-03-03,Resolved
CASE00199,ACC0022,CON00042,P011,E0064,Low,Billing Inquiry,2024-07-26,2024-07-27,Resolved
CASE00200,ACC0061,CON00125,P016,E0051,Medium,Technical Support,2024-09-15,2024-09-23,Resolved
CASE00201,ACC0039,CON00075,P008,E0016,Low,Warranty Claim,2024-11-21,2024-11-23,Resolved
CASE00202,ACC0027,CON00054,P014,E0051,Low,Billing Inquiry,2025-06-24,2025-07-01,Resolved
CASE00203,ACC0040,CON00078,P004,E0029,Medium,Billing Inquiry,2024-01-29,2024-02-06,Resolved
CASE00204,ACC0047,CON00092,P010,E0046,Medium,Warranty Claim,2025-05-09,2025-05-19,Resolved
CASE00205,ACC0054,CON00105,P015,E0051,Critical,Delivery Complaint,2024-11-26,2024-12-05,Resolved
CASE00206,ACC0038,CON00074,P004,E0051,Medium,Warranty Claim,2025-01-11,2025-01-15,Resolved
CASE00207,ACC0060,CON00122,P011,E0170,Medium,Technical Support,2025-05-10,2025-05-22,Resolved
CASE00208,ACC0068,CON00140,P005,E0016,Low,Product Defect,2024-05-22,2024-06-13,Resolved
CASE00209,ACC0053,CON00104,P001,E0103,Medium,Billing Inquiry,2024-11-22,2024-11-23,Resolved
CASE00210,ACC0020,CON00037,P008,E0016,High,Delivery Complaint,2024-02-02,2024-02-05,Resolved
CASE00211,ACC0043,CON00084,P012,E0080,High,Technical Support,2025-09-14,2025-09-15,Resolved
CASE00212,ACC0043,CON00084,P002,E0137,Medium,Warranty Claim,2024-09-28,2024-10-04,Resolved
CASE00213,ACC0004,CON00007,P008,E0069,Critical,Product Defect,2025-07-12,2025-07-14,Resolved
CASE00214,ACC0029,CON00058,P012,E0137,High,Technical Support,2025-09-25,2025-09-28,Resolved
CASE00215,ACC0067,CON00137,P007,E0046,Medium,Delivery Complaint,2025-02-23,2025-02-28,Resolved
CASE00216,ACC0026,CON00052,P003,E0051,Low,Delivery Complaint,2024-10-20,2024-10-23,Resolved
CASE00217,ACC0011,CON00018,P013,E0137,Medium,Product Defect,2024-06-20,2024-06-23,Resolved
CASE00218,ACC0069,CON00142,P015,E0051,High,Warranty Claim,2024-08-17,2024-09-02,Resolved
CASE00219,ACC0007,CON00013,P003,E0092,Medium,Warranty Claim,2024-03-24,2024-03-30,Resolved
CASE00220,ACC0069,CON00141,P013,E0069,Low,Product Defect,2024-11-07,2024-11-10,Resolved
CASE00221,ACC0024,CON00048,P003,E0170,Medium,Technical Support,2025-03-09,2025-03-11,Resolved
CASE00222,ACC0038,CON00074,P016,E0137,Low,Technical Support,2025-03-02,2025-03-11,Resolved
CASE00223,ACC0007,CON00013,P002,E0103,Medium,Warranty Claim,2025-12-30,,Open
CASE00224,ACC0037,CON00073,P011,E0051,Medium,Billing Inquiry,2024-06-23,2024-06-26,Resolved
CASE00225,ACC0034,CON00066,P012,E0170,Low,Billing Inquiry,2024-03-29,2024-04-09,Resolved
CASE00226,ACC0022,CON00044,P015,E0069,Medium,Billing Inquiry,2025-06-28,2025-07-08,Resolved
CASE00227,ACC0069,CON00142,P010,E0001,Low,Billing Inquiry,2024-11-29,2024-12-01,Resolved
CASE00228,ACC0011,CON00018,P011,E0051,Low,Product Defect,2024-01-12,2024-01-15,Resolved
CASE00229,ACC0067,CON00137,P011,E0051,Medium,Warranty Claim,2025-12-24,2025-12-27,Resolved
CASE00230,ACC0046,CON00090,P005,E0064,Medium,Warranty Claim,2025-10-03,2025-10-04,Resolved
CASE00231,ACC0055,CON00107,P016,E0092,High,Billing Inquiry,2025-05-29,2025-05-30,Resolved
CASE00232,ACC0017,CON00033,P011,E0051,High,Technical Support,2024-02-11,2024-02-19,Resolved
CASE00233,ACC0014,CON00025,P001,E0016,Medium,Product Defect,2024-03-19,2024-03-27,Resolved
CASE00234,ACC0003,CON00004,P012,E0137,Medium,Warranty Claim,2024-04-02,2024-04-10,Resolved
CASE00235,ACC0006,CON00010,P012,E0103,Low,Product Defect,2025-07-19,2025-07-22,Resolved
CASE00236,ACC0031,CON00063,P002,E0107,Low,Warranty Claim,2024-11-22,2024-11-29,Resolved
CASE00237,ACC0065,CON00132,P015,E0046,Low,Product Defect,2024-04-30,2024-05-02,Resolved
CASE00238,ACC0041,CON00080,P011,E0016,Critical,Billing Inquiry,2025-01-28,2025-02-02,Resolved
CASE00239,ACC0007,CON00012,P003,E0137,Low,Product Defect,2025-06-08,2025-06-12,Resolved
CASE00240,ACC0063,CON00128,P008,E0051,Low,Billing Inquiry,2024-12-10,2024-12-13,Resolved
CASE00241,ACC0059,CON00119,P011,E0064,Medium,Warranty Claim,2025-02-21,2025-02-26,Resolved
CASE00242,ACC0015,CON00027,P011,E0103,Low,Warranty Claim,2024-12-07,2024-12-20,Resolved
CASE00243,ACC0038,CON00074,P003,E0069,High,Billing Inquiry,2025-02-11,2025-02-17,Resolved
CASE00244,ACC0005,CON00008,P012,E0029,High,Billing Inquiry,2024-05-10,2024-05-11,Resolved
CASE00245,ACC0050,CON00098,P003,E0069,High,Warranty Claim,2025-01-21,2025-01-25,Resolved
CASE00246,ACC0024,CON00048,P002,E0170,High,Product Defect,2024-06-12,2024-06-16,Resolved
CASE00247,ACC0054,CON00105,P001,E0016,Medium,Delivery Complaint,2025-08-30,2025-09-01,Resolved
CASE00248,ACC0003,CON00004,P016,E0103,Medium,Warranty Claim,2025-03-03,2025-03-08,Resolved
CASE00249,ACC0020,CON00038,P006,E0001,Low,Delivery Complaint,2024-03-11,2024-03-21,Resolved
CASE00250,ACC0059,CON00121,P006,E0107,Medium,Billing Inquiry,2025-01-05,2025-01-07,Resolved
CASE00251,ACC0049,CON00097,P003,E0069,Medium,Technical Support,2024-09-12,2024-10-03,Resolved
CASE00252,ACC0037,CON00073,P002,E0137,Critical,Billing Inquiry,2025-05-21,2025-05-24,Resolved
CASE00253,ACC0026,CON00052,P016,E0103,Medium,Warranty Claim,2025-08-04,2025-08-08,Resolved
CASE00254,ACC0063,CON00128,P016,E0170,High,Technical Support,2024-08-24,2024-08-26,Resolved
CASE00255,ACC0049,CON00097,P007,E0064,Medium,Warranty Claim,2025-01-20,2025-02-06,Resolved
CASE00256,ACC0034,CON00066,P005,E0029,Medium,Product Defect,2024-05-17,2024-05-20,Resolved
CASE00257,ACC0069,CON00141,P001,E0080,Low,Warranty Claim,2025-12-23,2025-12-30,Resolved
CASE00258,ACC0009,CON00016,P011,E0016,Low,Product Defect,2025-06-05,2025-06-08,Resolved
